date,amount,flow_type,category,sub_category
2023-07-01,480000,income,revenue,b2b_sales
2023-07-03,15000,income,revenue,retainer
2023-07-05,200000,expense,fixed,payroll
2023-07-10,30000,expense,fixed,rent
2023-07-12,12000,expense,fixed,software_subscriptions
2023-07-15,40000,expense,discretionary,marketing
2023-07-20,15000,expense,growth,r_and_d
2023-07-25,60000,debt_payment,loan,business_loan
2023-08-01,510000,income,revenue,b2b_sales
2023-08-03,18000,income,revenue,retainer
2023-08-05,200000,expense,fixed,payroll
2023-08-10,30000,expense,fixed,rent
2023-08-12,12000,expense,fixed,software_subscriptions
2023-08-15,45000,expense,discretionary,marketing
2023-08-20,20000,expense,growth,r_and_d
2023-08-25,60000,debt_payment,loan,business_loan
2023-09-01,490000,income,revenue,b2b_sales
2023-09-05,210000,expense,fixed,payroll
2023-09-10,30000,expense,fixed,rent
2023-09-12,12000,expense,fixed,software_subscriptions
2023-09-15,48000,expense,discretionary,marketing
2023-09-18,50000,expense,discretionary,equipment_repair
2023-09-20,35000,expense,growth,r_and_d
2023-09-25,60000,debt_payment,loan,business_loan
2023-10-01,540000,income,revenue,b2b_sales
2023-10-03,22000,income,revenue,retainer
2023-10-05,210000,expense,fixed,payroll
2023-10-10,30000,expense,fixed,rent
2023-10-12,12000,expense,fixed,software_subscriptions
2023-10-15,50000,expense,discretionary,marketing
2023-10-20,25000,expense,growth,r_and_d
2023-10-25,60000,debt_payment,loan,business_loan
2023-11-01,520000,income,revenue,b2b_sales
2023-11-05,215000,expense,fixed,payroll
2023-11-10,30000,expense,fixed,rent
2023-11-12,12000,expense,fixed,software_subscriptions
2023-11-15,42000,expense,discretionary,marketing
2023-11-20,18000,expense,growth,r_and_d
2023-11-25,60000,debt_payment,loan,business_loan
2023-12-01,560000,income,revenue,b2b_sales
2023-12-03,25000,income,revenue,retainer
2023-12-05,220000,expense,fixed,payroll
2023-12-08,8000,expense,fixed,annual_compliance
2023-12-10,30000,expense,fixed,rent
2023-12-12,12000,expense,fixed,software_subscriptions
2023-12-15,55000,expense,discretionary,marketing
2023-12-20,30000,expense,growth,r_and_d
2023-12-25,60000,debt_payment,loan,business_loan
