date,amount,flow_type,category,sub_category
2023-07-01,150000,income,salary,monthly
2023-07-05,6000,expense,fixed,utilities
2023-07-08,8000,expense,fixed,insurance
2023-07-10,20000,debt_payment,emi,home_loan
2023-07-15,18000,expense,discretionary,food
2023-07-18,12000,expense,discretionary,travel
2023-07-25,10000,expense,discretionary,shopping
2023-08-01,155000,income,salary,monthly
2023-08-03,5000,income,interest,savings_account
2023-08-05,6000,expense,fixed,utilities
2023-08-08,8000,expense,fixed,insurance
2023-08-10,20000,debt_payment,emi,home_loan
2023-08-15,19000,expense,discretionary,food
2023-08-18,15000,expense,discretionary,travel
2023-08-25,8000,expense,discretionary,shopping
2023-09-01,150000,income,salary,monthly
2023-09-05,6000,expense,fixed,utilities
2023-09-08,8000,expense,fixed,insurance
2023-09-10,20000,debt_payment,emi,home_loan
2023-09-15,17000,expense,discretionary,food
2023-09-18,10000,expense,discretionary,travel
2023-09-25,9000,expense,discretionary,shopping
2023-10-01,160000,income,salary,monthly
2023-10-03,8000,income,freelance,consulting
2023-10-05,6000,expense,fixed,utilities
2023-10-08,8000,expense,fixed,insurance
2023-10-10,20000,debt_payment,emi,home_loan
2023-10-15,20000,expense,discretionary,food
2023-10-18,14000,expense,discretionary,travel
2023-10-25,11000,expense,discretionary,shopping
2023-11-01,155000,income,salary,monthly
2023-11-05,6000,expense,fixed,utilities
2023-11-08,8000,expense,fixed,insurance
2023-11-10,20000,debt_payment,emi,home_loan
2023-11-15,18000,expense,discretionary,food
2023-11-18,16000,expense,discretionary,travel
2023-11-25,10000,expense,discretionary,shopping
2023-12-01,165000,income,salary,monthly
2023-12-03,12000,income,bonus,annual_bonus
2023-12-05,6000,expense,fixed,utilities
2023-12-08,8000,expense,fixed,insurance
2023-12-10,20000,debt_payment,emi,home_loan
2023-12-15,19000,expense,discretionary,food
2023-12-18,15000,expense,discretionary,travel
2023-12-25,12000,expense,discretionary,shopping
