date,amount,flow_type,category,sub_category
2023-07-01,80000,income,salary,monthly
2023-07-05,20000,expense,fixed,rent
2023-07-10,5000,expense,fixed,insurance
2023-07-12,3000,expense,fixed,utilities
2023-07-15,18000,expense,discretionary,food
2023-07-20,7000,expense,discretionary,entertainment
2023-07-25,15000,debt_payment,emi,home_loan
2023-08-01,85000,income,salary,monthly
2023-08-05,20000,expense,fixed,rent
2023-08-10,5000,expense,fixed,insurance
2023-08-12,3000,expense,fixed,utilities
2023-08-15,20000,expense,discretionary,food
2023-08-20,8000,expense,discretionary,shopping
2023-08-22,5000,expense,discretionary,entertainment
2023-08-25,15000,debt_payment,emi,home_loan
2023-09-01,78000,income,salary,monthly
2023-09-03,3000,income,freelance,project
2023-09-05,20000,expense,fixed,rent
2023-09-10,5000,expense,fixed,insurance
2023-09-12,3000,expense,fixed,utilities
2023-09-15,22000,expense,discretionary,food
2023-09-20,10000,expense,discretionary,shopping
2023-09-25,15000,debt_payment,emi,home_loan
2023-10-01,84000,income,salary,monthly
2023-10-05,20000,expense,fixed,rent
2023-10-10,5000,expense,fixed,insurance
2023-10-12,3000,expense,fixed,utilities
2023-10-15,25000,expense,discretionary,food
2023-10-20,8000,expense,discretionary,entertainment
2023-10-22,9000,expense,discretionary,shopping
2023-10-25,15000,debt_payment,emi,home_loan
2023-11-01,82000,income,salary,monthly
2023-11-05,20000,expense,fixed,rent
2023-11-10,5000,expense,fixed,insurance
2023-11-12,3000,expense,fixed,utilities
2023-11-13,32000,expense,discretionary,shopping
2023-11-15,25000,expense,discretionary,food
2023-11-18,10000,expense,discretionary,entertainment
2023-11-25,15000,debt_payment,emi,home_loan
2023-12-01,80000,income,salary,monthly
2023-12-03,2000,income,interest,savings
2023-12-05,20000,expense,fixed,rent
2023-12-10,5000,expense,fixed,insurance
2023-12-12,3000,expense,fixed,utilities
2023-12-15,24000,expense,discretionary,food
2023-12-20,10000,expense,discretionary,entertainment
2023-12-22,5000,expense,discretionary,shopping
2023-12-25,15000,debt_payment,emi,home_loan
