date,amount,flow_type,category,sub_category
2023-07-01,220000,income,revenue,client_projects
2023-07-05,160000,expense,fixed,payroll
2023-07-10,25000,expense,fixed,rent
2023-07-12,10000,expense,fixed,software_subscriptions
2023-07-15,18000,expense,discretionary,marketing
2023-07-25,40000,debt_payment,loan,business_loan
2023-08-01,195000,income,revenue,client_projects
2023-08-05,160000,expense,fixed,payroll
2023-08-10,25000,expense,fixed,rent
2023-08-12,10000,expense,fixed,software_subscriptions
2023-08-15,14000,expense,discretionary,marketing
2023-08-25,40000,debt_payment,loan,business_loan
2023-09-01,180000,income,revenue,client_projects
2023-09-05,165000,expense,fixed,payroll
2023-09-10,25000,expense,fixed,rent
2023-09-12,10000,expense,fixed,software_subscriptions
2023-09-15,12000,expense,discretionary,marketing
2023-09-20,20000,expense,discretionary,equipment_repair
2023-09-25,40000,debt_payment,loan,business_loan
2023-10-01,210000,income,revenue,client_projects
2023-10-05,165000,expense,fixed,payroll
2023-10-10,25000,expense,fixed,rent
2023-10-12,10000,expense,fixed,software_subscriptions
2023-10-15,15000,expense,discretionary,marketing
2023-10-25,40000,debt_payment,loan,business_loan
2023-11-01,190000,income,revenue,client_projects
2023-11-05,168000,expense,fixed,payroll
2023-11-10,25000,expense,fixed,rent
2023-11-12,10000,expense,fixed,software_subscriptions
2023-11-15,10000,expense,discretionary,marketing
2023-11-25,40000,debt_payment,loan,business_loan
2023-12-01,175000,income,revenue,client_projects
2023-12-05,170000,expense,fixed,payroll
2023-12-10,25000,expense,fixed,rent
2023-12-12,10000,expense,fixed,software_subscriptions
2023-12-15,8000,expense,discretionary,marketing
2023-12-25,40000,debt_payment,loan,business_loan
