date,amount,flow_type,category,sub_category
2023-07-01,70000,income,salary,monthly
2023-07-08,5000,expense,fixed,utilities
2023-07-10,3000,expense,fixed,insurance
2023-07-12,18000,debt_payment,emi,home_loan
2023-07-15,8000,debt_payment,emi,personal_loan
2023-07-20,5000,debt_payment,emi,credit_card
2023-07-22,15000,expense,discretionary,food
2023-07-25,9000,expense,discretionary,shopping
2023-07-28,8000,expense,discretionary,entertainment
2023-08-01,70000,income,salary,monthly
2023-08-08,5000,expense,fixed,utilities
2023-08-10,3000,expense,fixed,insurance
2023-08-12,18000,debt_payment,emi,home_loan
2023-08-15,8000,debt_payment,emi,personal_loan
2023-08-20,5000,debt_payment,emi,credit_card
2023-08-22,16000,expense,discretionary,food
2023-08-25,10000,expense,discretionary,shopping
2023-08-28,7000,expense,discretionary,entertainment
2023-09-01,68000,income,salary,monthly
2023-09-08,5000,expense,fixed,utilities
2023-09-10,3500,expense,fixed,insurance
2023-09-12,18000,debt_payment,emi,home_loan
2023-09-15,8000,debt_payment,emi,personal_loan
2023-09-20,5000,debt_payment,emi,credit_card
2023-09-22,14000,expense,discretionary,food
2023-09-25,11000,expense,discretionary,shopping
2023-09-28,6000,expense,discretionary,entertainment
2023-10-01,70000,income,salary,monthly
2023-10-08,5000,expense,fixed,utilities
2023-10-10,3500,expense,fixed,insurance
2023-10-12,18000,debt_payment,emi,home_loan
2023-10-15,8000,debt_payment,emi,personal_loan
2023-10-20,5000,debt_payment,emi,credit_card
2023-10-22,18000,expense,discretionary,food
2023-10-25,12000,expense,discretionary,shopping
2023-10-28,9000,expense,discretionary,entertainment
2023-11-01,65000,income,salary,monthly
2023-11-08,5000,expense,fixed,utilities
2023-11-10,3500,expense,fixed,insurance
2023-11-12,18000,debt_payment,emi,home_loan
2023-11-15,8000,debt_payment,emi,personal_loan
2023-11-20,5000,debt_payment,emi,credit_card
2023-11-22,20000,expense,discretionary,food
2023-11-25,15000,expense,discretionary,shopping
2023-11-28,10000,expense,discretionary,entertainment
2023-12-01,65000,income,salary,monthly
2023-12-08,5000,expense,fixed,utilities
2023-12-10,3500,expense,fixed,insurance
2023-12-12,18000,debt_payment,emi,home_loan
2023-12-15,8000,debt_payment,emi,personal_loan
2023-12-20,5000,debt_payment,emi,credit_card
2023-12-22,22000,expense,discretionary,food
2023-12-25,18000,expense,discretionary,shopping
2023-12-28,12000,expense,discretionary,entertainment
